Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
180,PRO-NRG,6,4,406,Non-Alcoholic Beverages,Tania Patruno and Brandon Jacobs,"Woodbridge, NJ",Woodbridge, NJ,http://www.pronrgusa.com,250000,0.15,1666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,TRUE,Protein-infused flavored water.
181,Cousins Maine Lobster,6,4,406,Specialty Food,Jim Tselikis and Sabin Lomac,"Los Angeles, CA",Los Angeles, CA,http://www.cousinsmainelobster.com,55000,0.05,1100000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"A lobster roll food truck run by two cousins originally from Maine, operating in Southern California."
182,Freaker USA,6,4,406,Novelties,Zach Crain,"Wilmington, NC",Wilmington, NC,http://www.freakerusa.com,200000,0.1,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Stretchy, creative beverage cozies."
183,The Shemie,7,4,407,Undergarments and Basics,Shelton Wilder,"Los Angeles, CA",Los Angeles, CA,http://www.theshemie.com,60000,0.2,300000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A modern take on the slip.
184,Scrub Daddy,7,4,407,Kitchen Tools,,"Folcroft, PA",Folcroft, PA,http://scrubdaddy.com,100000,0.1,1000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Possibly the most successful product in Shark Tank history, Scrub Daddy is a smiley sponge that packs real cleaning power. Dip in warm water to make Scrub Daddy soft and squishy, or run cold water over it to make it firm for those tasks that require a more muscle. Safe on non-stick cookware, china, wood, stainless steel, and counter tops, Scrub Daddy is your go-to sponge for cleaning. Its round shape makes it ergonomically friendly for those times you have to clean the inside of a bottle or container, while the Scrub Daddy smile is also a wonderful tool for easily cleaning spoons and spatulas."
185,The Bear & The Rat,7,4,407,Pet Products,Matt and Meg Meyer,"Denver, CO",Denver, CO,http://cooltreatsfordogs.com,125000,0.2,625000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,An ice cream treat that is safe for dogs.
186,The SBU Unicycle,7,4,407,Cycling,Daniel Wood and David Martschinske,"Camas, WA",Camas, WA,http://focusdesigns.com/,300000,0.1,3000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,TRUE,"Focus Designs is the maker of the self-balancing unicycle, or the SBU for short. The SBU is a battery-powered unicycle with built-in sensors that keep the rider balanced and moving forward with no need for pedaling. The rider controls the SBU with just their natural leaning motions, and according to the company, it takes only about 20-30 minutes to learn. The SBU is strong yet lightweight, supporting over 300 lbs. on its mere 27-pound frame and accelerating to 10mph in just 3 seconds. The SBU reaches a max speed of 12.5 mph and can take hills of up to a 30% grade."
187,PlateTopper,8,4,408,Kitchen Tools,Michael Tseng,"San Francisco, CA",San Francisco, CA,https://www.platetopper.com/,90000,0.05,1800000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,A plastic lid that can turn any plate into an airtight container for food storage.
188,No Fly Cone,8,4,408,Pest Control,Bruce Gaither,"Los Angeles, CA",Los Angeles, CA,http://noflycone.com,25000,0.15,166667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"The No Fly Cone is designed to be placed over dog, horse and cattle feces to trap flies. It is non-toxic and doesn't require any added attractant."
189,Cool Wazoo,8,4,408,Baby and Child Care,Ginelle Mills,"Walnut Creek, CA",Walnut Creek, CA,http://www.thecoolwazoo.com,65000,0.25,260000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,FALSE,"Cool Wazoo is a cover that redirects heat back to its source while serving five different functions. It can be a swing cover, high chair cover, shopping cart cover, car shade and a changing pad."
190,PC Classes Online,9,4,409,Online Services,David A. Cox,"Provincetown, MA",Provincetown, MA,http://pcclassesonline.com,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"General computer proficiency classes taught remotely online, instead of in a classroom or home setting."
191,ReVestor,9,4,409,Online Services,Bill Lyons,"San Francisco, CA",San Francisco, CA,http://www.revestor.com,250000,0.1,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,A search engine for real estate.
192,Ice Chips Candy,9,4,409,Specialty Food,Beverly Vines-Haines and Charlotte Clary,"Yelm, WA",Yelm, WA,https://www.icechipscandy.com,250000,0.15,1666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC+MC,Barbara Corcoran,Mark Cuban,,,,TRUE,"Ice Chips are sugar-free hard candy sweetened with Xylitol and smashed to bits into its distinctive ""ice chips"" shape. The business is run by two enterprising friends, Bev Vines-Haines and Charlotte Clary, who over their years of friendship have worked on a tons of ideas and projects until finally coming across Ice Chips. These two grandmothers have 37 grandchildren between them and wanted to make a candy that was healthy yet tasted good enough that their brood would like it too."
193,Drive Suits,9,4,409,Costumes,Drew Beaumier,"Burbank, CA",Burbank, CA,http://www.drivesuits.com,150000,0.2,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,FALSE,Costumes that instantaneously transform the wearer from a human into a motorized vehicle.
194,Tie Try,10,4,410,Men's Accessories,David Powers and Scott Tindel,"New York, NY",New York, NY,https://freshneck.com/,100000,0.25,400000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A subscription service for neckwear.
195,Ruckpack,10,4,410,Specialty Food,Rob Dyer,"San Diego, CA",San Diego, CA,http://www.ruckpack.com,75000,0.1,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL+RH,Kevin O'Leary,Robert Herjavec,,,,FALSE,Caffeine-free nutrition shot designed and tested by special ops forces.
196,Nearly Newlywed,10,4,410,Weddings,Jackie Courtney,"Brooklyn, NY",Brooklyn, NY,http://www.nearlynewlywed.com,35000,0.1,350000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An online boutique where brides can buy and resell used wedding dresses.
197,Corks Away,10,4,410,Entertainment,Shane Cianciolo and Nathan Buffett,"Long Beach, CA",Long Beach, CA,,105000,0.2,525000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,An atmospheric dinner and drinks cruise.
198,Partie Poche,11,4,411,Women's Accessories,Connor Pastoor and Jillian Jaccard,"Los Angeles, CA",Los Angeles, CA,,100000,0.2,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A nightlife fashion accessory that replaces a handbag by allowing the wearer to carry her essentials around her leg instead.
199,The Living Christmas Tree Company,11,4,411,Holiday Cheer,Scott Martin,"Redondo Beach, CA",Redondo Beach, CA,http://www.livingchristmas.com,150000,0.3,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,"A company that rents live, potted Christmas trees as an eco-friendly and good-spirited alternative to cut trees."
200,Fat Ass Fudge,11,4,411,Specialty Food,Donna McCue,"East Hampton, NY",East Hampton, NY,http://www.fat-assfudge.com,250000,0.05,5000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,Lactose-free fudge treats made from goat's milk.
201,The Coop,11,4,411,Baby and Children's Entertainment,Lucinda Lent and Juliet Boydstun,"Studio City, CA",Studio City, CA,http://www.thecoop-la.com,150000,0.15,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,BC,Barbara Corcoran,,,,,TRUE,A kid-friendly cappuccino bar that both parents and children can enjoy.
202,The Game Face Company,12,4,412,Novelties,Doug Marshall,"Tyler, TX",Tyler, TX,http://www.thegamefacecompany.com,450000,0.25,1800000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG+MC,Mark Cuban,Lori Greiner,,,,FALSE,"Prepackaged, peel-off face paint in a wide variety of designs."
203,Hot Tot,12,4,412,Baby and Child Care,Megan Gage,"Denver, CO",Denver, CO,http://hottot.com,50000,0.15,333333,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,Professional-quality hair care products for children without harsh chemicals.
204,ARKEG,12,4,412,Party Supplies,Brant Myers and Dan Grimm,"San Luis Obispo, CA",San Luis Obispo, CA,http://www.drinkngame.com,100000,0.33,303030,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Arkeg is an arcade game with a beer keg built into its side.
205,Dura-Tent,12,4,412,Outdoor Recreation,Dan Rothweil,"Poway, CA",Poway, CA,http://www.duratent.com,50000,0.3,166667,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"A tabletop food screen that protects food from outdoors pests, featuring a Velcro-fastened door allowing easy access for people."
206,Teddy Needs a Bath,13,4,413,Storage and Cleaning Products,Nicole Townend,"San Francisco, CA",San Francisco, CA,http://www.teddyneedsabath.com,50000,0.1,500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC,Mark Cuban,,,,,FALSE,A washer and dryer bag specifically designed to protect children's beloved stuffed animals from damage in the wash.
207,Urbio,13,4,413,Gardening,Jared Aller and Beau Oyler,"Oakland, CA",Oakland, CA,http://www.myurbio.com,300000,0.12,2500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,LG,Lori Greiner,,,,,TRUE,"Urbio is an innovative modular solution for urban gardening and small space organization. Made with light-weight and durable polypropylene plastic and neodymium magnets, Urbio is a recyclable product available in a variety of vessel sizes."
208,Sub Zero Ice Cream,13,4,413,Specialty Food,Jerry and Naomi Hancock,"Provo, UT",Provo, UT,http://www.subzeroicecream.com,300000,0.12,2500000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A chain of ice cream shops where the ice cream is made to-order using liquid nitrogen for rapid freezing.
209,Coffee Joulies,13,4,413,Novelties,Dave Jackson and Dave Petrillo,"Pennington, NJ",Pennington, NJ,http://www.joulies.com,150000,0.05,3000000,Lori Greiner,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+KOL+LG+RH,Daymond John,Kevin O'Leary,Robert Herjavec,Lori Greiner,,TRUE,"Coffee Joulies are an inventive new way to keep your coffee at its ideal temperature for hours. Simply drop the silver-colored ""beans"" into your coffee and they will absorb heat when it is too hot, and later release this heat as your drink cools off. Coffee Joulies get your coffee ready to drink (without burning your tongue) sooner and keep it comfortably hot for over five hours. Coffee Joulies use a non-toxic proprietary ""phase change material"" that is encased in foodsafe stainless steel shells. The material absorbs heat above 140 degrees Fahrenheit and releases heat below that threshold. The set of Coffee Joulies includes five Joulies and a carrying pouch."
210,CuddleTunes,14,4,414,Toys and Games,Mike Robinson,"Los Angeles, CA",Los Angeles, CA,http://www.cuddletunes.com,400000,0.2,2000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Kids can listen to voice recordings from a loved one through this teddy bear, which is equipped to receive the recordings remotely from the sender."
211,SoundBender,14,4,414,Electronics,Rabbi Moshe Weiss,"St. Paul, MN",St. Paul, MN,http://www.thesoundbender.com,54000,0.26,207692,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ,Daymond John,,,,,FALSE,"A magnetic, power-free sound amplifier for the iPad."
212,Bibbitec,14,4,414,Baby and Child Care,Susie and Steve Taylor,"Miami, FL",Miami, FL,http://www.bibbitec.com,40000,0.14,285714,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Bibs designed for better coverage and made with a patented fabric that stays stain-free.
213,Xero Shoes,14,4,414,Men and Women's Shoes,Lena Phoenix and Steven Sashen,"Boulder, CO",Boulder, CO,http://xeroshoes.com,400000,0.08,5000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,Sandals designed to be biomechanically identical to being barefoot while still adding a layer of protection.
214,My Cold Snap,15,4,415,Novelties,Scott Duff and Carlos Ortiz,"Austin, TX",Austin, TX,,50000,1,50000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,TRUE,A beverage holder that keeps drinks cold.
215,Grinds,15,4,415,Specialty Food,Matt Canepa and Pat Pezet,"San Francisco, CA",San Francisco, CA,http://www.getgrinds.com,75000,0.1,750000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,DJ+RH,Daymond John,Robert Herjavec,,,,TRUE,"Grinds, or Grinds Coffee Pouches, are small pouches of flavored coffee. Grinds is a tobacco- and nicotine-free product."
216,Hoodie Pillow,15,4,415,Novelties,Rebecca Rescate and Chris Hindley,"Florence, NJ",Florence, NJ,http://www.hoodiepillow.com,90000,0.15,600000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,Others,Others,,,,,TRUE,A pillowcase with a built-in hood for added coziness. Also available as an inflatable travel pillow.
217,The Green Garmento,15,4,415,Storage and Cleaning Products,Jennie Nigrosh,"North Hollywood, CA",North Hollywood, CA,http://thegreengarmento.com,300000,0.2,1500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An eco-friendly and functional reusable garment bag that doubles as a hamper.
218,How Do You Roll?,16,4,416,Specialty Food,Peter and Yuen Yung,"Austin, TX",Austin, TX,http://howdoyouroll.com,1000000,0.12,8333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,KOL,Kevin O'Leary,,,,,TRUE,A chain of quick-service establishments selling quality made-to-order sushi rolls.
219,Smartwheel,16,4,416,Automotive,The Inventioneers,"Londonderry, NJ",Londonderry, NJ,http://smartwheelusa.com,100000,0.15,666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,Deal Made,MC+RH,Mark Cuban,Robert Herjavec,,,,FALSE,"A device for reducing distrated driving behaviors, Smartwheel is built into a vehicle's steering wheel and alerts drivers when they engage in unsafe driving positions."
220,Pretty Padded Room,16,4,416,Online Services,Bea Arthur,"New York, NY",New York, NY,https://prettypaddedroom.com,100000,0.3,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,An online portal providing mental health services geared towards women. Pretty Padded Room connects clients with licensed female therapists via video chats or digital diaries for a fraction of the price paid for in-person therapy sessions.
221,Gotta Have S'More,16,4,416,Specialty Food,Carmen Lindner,"Los Angeles, CA",Los Angeles, CA,http://gottahavesmore.com,75000,0.25,300000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Mark Cuban,No Deal Made,,,,,,,FALSE,"Gotta Have S'more marries muffins with s'mores to make the utterly irresistible s'muffin. The classic camping snack has grown up into a classy and self-contained treat, but just as delectable as always. Although it's more buttoned-up, the s'muffin is still made up of the traditional s'more building blocks: graham cracker, toasted marshmallow, and chocolate. The company doesn't mess around with creative flavors, and that's for the best, because we don't see why you'd want to mess with perfection. If you want to mix things up though, they will make you specialized s'muffins decorated to suit your occassion, whether it's a corporate event, a wedding, or something else altogether. S'muffins are sold on the company's online store and are also available at Williams-Sonoma."
